"Título","División Académica","Director/a de Departamento"
"Arquitectura y Urbanismo","Arquitectura, Urbanismo y Diseño","Yalmar Alberto Vargas Tovar"
"Diseño","Arquitectura, Urbanismo y Diseño","EDGARD DAVID RINCON QUIJANO"
"Ciencias Naturales","Ciencias Básicas","DANIEL FERNANDO INSUASTY DELGADO"
"Matemáticas, Física y Ciencia de Datos","Ciencias Básicas","Karen Cecilia Florez Lozano"
"Enfermería","Ciencias de la Salud","Juana Bautista Borja Gonzalez"
"Medicina","Ciencias de la Salud","Rafael Rene Padron Posteraro"
"Odontología","Ciencias de la Salud","Erich Meyer Duque"
"Salud Pública","Ciencias de la Salud","Edgar Navarro Lechuga"
"Derecho","Derecho, Ciencia Política y Relaciones Internacionales","Carlos Javier Velasquez Muñoz"
"Ciencia Política y Relaciones Internacionales","Derecho, Ciencia Política y Relaciones Internacionales","Mariangela Rueda Fiorentino"
"Educación","Dirección de Docencia","Andrea Milena Lafaurie Molina"
"Comunicación Social","Humanidades, Artes y Ciencias Sociales","Yenny Beatriz Peña Escobar"
"Economía","Humanidades, Artes y Ciencias Sociales","Andres Mauricio Vargas Perez"
"Humanidades y Ciencias Sociales","Humanidades, Artes y Ciencias Sociales","Eliana Marcela Sanandres Campis"
"Psicología","Humanidades, Artes y Ciencias Sociales","Ana Maria Trejos Herrera"
"Música","Humanidades, Artes y Ciencias Sociales","Camilo Andres Puche Perneth"
"Español","Idiomas","Jesus David Guerra Lyons"
"Lenguas Extranjeras","Idiomas","Indira Alejandra Niebles Thevening"
"Ingeniería Civil y Ambiental","Ingenierías","MARGARETH JOSEFINA DUGARTE COLL"
"Ingeniería Eléctrica y Electrónica","Ingenierías","Adriana Arango Manrique"
"Ingeniería Industrial","Ingenierías","Cesar Augusto Henao Botero"
"Ingeniería Mecánica","Ingenierías","Antonio Jose Bula Silvera"
"Ingeniería de Sistemas y Computación","Ingenierías","DALADIER JABBA MOLINARES"
"Emprendimiento y Management","Negocios","Claudia Patricia Diaz Sarmiento"
"Finanzas y Contaduría","Negocios","Margarita Maria Contreras Cuentas"
"Mercadeo y Negocios Internacionales","Negocios","David Eduardo Juliao Esparragoza"
