"Título","Decano/a"
"Arquitectura, Urbanismo y Diseño","MAURICIO ANDRES GARCIA GONZALEZ"
"Ciencias Básicas","Maria Cristina Martinez Habibe"
"Ciencias de la Salud","Maria Del Pilar Garavito Galofre"
"Derecho, Ciencia Política y Relaciones Internacionales","Silvana Milena Insignares Cera"
"Dirección de Docencia","Jose Alfredo Aparicio Serrano"
"Humanidades, Artes y Ciencias Sociales","Nancy Regina Gomez Arrieta"
"Idiomas","Lourdes Aracelly Rey Paba"
"Ingenierías","Julian Alberto Arellana Ochoa"
"Negocios","MARIA CLEMENCIA SIERRA PEÑAS"
"Dirección de Especializaciones","Alexandra Ruby Bolaño Pantoja"
